yyyymm,12M_forward,12M_Mom,9M_Mom,%_ch_D/P,5Y_val,,,,,,,,,,,,,,,,,
195812,0.08136545,0.380595149,0.311401425,-0.045794319,1.225312374,,,,,,,,,,,,,,,,,
195901,0.003422502,0.329016787,0.275782689,2.48E-05,1.125,,,,,,,,,,,,,,,,,
195902,0.012732172,0.35675808,0.256747562,0.003938195,1.118929254,,,,,,,,,,,,,,,,,
195903,-0.001805381,0.316864608,0.225464191,0.003256512,1.057906459,,,,,,,,,,,,,,,,,
195904,-0.05753641,0.325736648,0.220385675,-0.033688876,1.037862703,,,,,,,,,,,,,,,,,
195905,-0.049787594,0.330914039,0.228900524,-0.014929574,1.010277492,,,,,,,,,,,,,,,,,
195906,-0.026867029,0.292440318,0.167998402,0.007362159,1.001711743,,,,,,,,,,,,,,,,,
195907,-0.086245456,0.282263191,0.178842782,-0.030096609,0.959520725,,,,,,,,,,,,,,,,,
195908,-0.045306307,0.248167539,0.135670732,0.018997945,0.997988602,,,,,,,,,,,,,,,,,
195909,-0.06088837,0.136236516,0.030248143,0.051713053,0.760445682,,,,,,,,,,,,,,,,,
195910,-0.074509251,0.120592246,0.037892458,-0.007466094,0.815656566,,,,,,,,,,,,,,,,,
195911,-0.048155499,0.110518293,0.051795705,-0.009454909,0.702102804,,,,,,,,,,,,,,,,,
195912,-0.03017178,0.084767252,0.080266955,-0.023306747,0.664535853,,,,,,,,,,,,,,,,,
196001,0.105216646,0.003428365,-0.034380969,0.098562717,0.518154518,,,,,,,,,,,,,,,,,
196002,0.122602322,0.012813572,-0.043626449,0.010340943,0.526659412,,,,,,,,,,,,,,,,,
196003,0.161813947,-0.001803752,-0.053531726,0.033648765,0.512848551,,,,,,,,,,,,,,,,,
196004,0.183332633,-0.055912485,-0.101470831,0.0195721,0.432297155,,,,,,,,,,,,,,,,,
196005,0.175792437,-0.048568507,-0.063255034,-0.024446967,0.472698496,,,,,,,,,,,,,,,,,
196006,0.127186641,-0.026509321,0.000703235,-0.017486969,0.387277602,,,,,,,,,,,,,,,,,
196007,0.184540914,-0.08263097,-0.034944367,0.025400829,0.275505515,,,,,,,,,,,,,,,,,
196008,0.17818732,-0.044295302,-0.022649279,-0.025456461,0.319129226,,,,,,,,,,,,,,,,,
196009,0.220599211,-0.05907173,-0.106361663,0.064275037,0.225555301,,,,,,,,,,,,,,,,,
196010,0.250960575,-0.071801113,-0.039920878,0.002434913,0.260982522,,,,,,,,,,,,,,,,,
196011,0.250073311,-0.047014413,-0.010334996,-0.038710839,0.220391123,,,,,,,,,,,,,,,,,
196012,0.20805874,-0.029721155,0.05005421,-0.044226467,0.277704485,,,,,,,,,,,,,,,,,
196101,0.108205284,0.110951268,0.136288394,-0.060996115,0.409858512,,,,,,,,,,,,,,,,,
196102,0.097829073,0.130434783,0.136306645,-0.027867301,0.399205999,,,,,,,,,,,,,,,,,
196103,0.066735997,0.175641489,0.14300773,-0.026555951,0.3419967,,,,,,,,,,,,,,,,,
196104,-0.001072386,0.201213905,0.176544767,-0.003827898,0.349937991,,,,,,,,,,,,,,,,,
196105,-0.109944993,0.192190579,0.168539326,-0.018780048,0.472566372,,,,,,,,,,,,,,,,,
